               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.018164,           0.0055107,                   0,             0.95735,                   1,             0.99346,             0.69408,            0.019022,           0.0027846,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01736,           0.0052125,                   0,             0.95686,                   1,             0.99346,             0.69752,            0.018864,           0.0028142,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018328,           0.0054498,                   0,             0.95678,                   1,             0.99346,             0.69703,            0.019064,           0.0028163,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.016925,           0.0056067,                   0,              0.9567,                   1,             0.99346,             0.68203,             0.01951,           0.0028091,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018318,           0.0056394,                   0,             0.95617,                   1,             0.99346,             0.69529,             0.01915,           0.0027453,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017174,           0.0056995,                   0,             0.95538,                   1,             0.99346,             0.70081,            0.019166,           0.0027945,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017194,           0.0058898,                   0,                   1,             0.99336,               0.995,             0.70593,            0.018918,           0.0027594,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017952,           0.0059304,                   0,                   1,             0.99343,               0.995,               0.694,            0.018634,            0.002777,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017608,           0.0054119,                   0,                   1,             0.99429,               0.995,             0.68065,            0.019379,           0.0028025,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.016829,           0.0049223,                   0,                   1,             0.99388,               0.995,             0.68237,            0.018984,           0.0027655,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016902,           0.0054202,                   0,                   1,             0.99437,               0.995,             0.70126,            0.018768,           0.0027509,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016388,           0.0056727,                   0,                   1,             0.99567,               0.995,             0.70765,            0.019072,           0.0027618,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016924,           0.0054843,                   0,                   1,             0.99572,               0.995,             0.70533,             0.01923,            0.002782,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016779,           0.0051443,                   0,                   1,               0.997,               0.995,             0.70475,            0.018849,           0.0027687,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016905,           0.0061629,                   0,                   1,             0.99548,               0.995,             0.70144,            0.018695,            0.002755,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016494,           0.0056957,                   0,                   1,              0.9951,               0.995,             0.70602,              0.0188,            0.002755,                   0,            0.000298,            0.000298,            0.000298
